name,id,new_id,x,y,address,owner_name,notes,category
الدوائية قرطبة,138,90482495,47.99217314,29.31204621,قرطبة ق 2 شارع 1 جادة 2 ,ص/ فريدة عبد الله العوضي,,
الدوائية السالمية,139,90277344,48.04514265,29.32511718,السالمية ق 12 قسيمة 1295 ,ص/ زينب خالد خميس الربيع,,
الشفاء الدوائية,140,18413209,48.09722525,29.17379945,العقيلة ق 5 قسيمة 22 محل 24+25,ص/ حمد سليمان السلطان,,
الدوائية الكبرى,141,21559639,48.08262052,29.25603425,صباح السالم ق 3 قسيمة 121,ص/ عالية فيصل عبد الله العلي,,
المسيلة الدوائية,142,14741256,48.08928023,29.24901057,صباح السالم ق 2 عقار 55 ,ص/ قمره فهد مرزوق العتيبي,,
صباح السالم الدوائية,143,21054841,48.08559537,29.25880761,صباح  السالم ق 1 مبني 284,ص/ حنين يوسف عبد الله البناي,,
صيدلية الدكتورة مريم الفيلكاوي(الصفوة الدوائية سابقا),144,12063148,47.99217314,29.31204621,المنقف-قطعة 4-قسيمة 057130-شارع 25,ص/ مريم يوسف علي ابراهيم الفيلكاوي,,
الدوائية الفحيحيل,145,17314313,48.12874225,29.08480373,الفحيحيل ق8 شارع ابن تيمية ,ص/خالد وليد عبدالله حسين,,
خيطان الدوائية,146,18654424,47.97465234,29.29145263,خيطان القديمة ق 16 ,ص/ حمزه عباس حسين شرف,,
الدوائية الجهراء,147,14185907,47.67014001,29.34119843,الجهراء ق 4 ش 1 قسيمة 9235,ص/ جاسم محمد جاسم العنزي,,
الدوائية المتطورة,148,14190124,47.66817297,29.34887356,الجهراء ق 5 شارع مرزوق بن متعب ,ص/ اسراء محمد حميان العرادة,,
دار الصحة,149,17760751,47.92730937,29.25287399,جليب الشيوخ-قطعه 24-قسيمه610,ص/حصه إبراهيم يوسف الشهوان,,
المثنى,150,93528241,48.09385688,29.17431833,العقيلة-قطعه 5-مبنى 43,ص/منيره سامي عيسى العيسي,,
سندس,151,94320995,48.09544112,29.17336848,العقيلة-قطعة5-مجمع 89,ص/امنيه محمد عيسى القصار,,
هبه,152,10841313,48.01285521,29.3464333,حولى-قطعة 204-شارع تونس,تركي راشد عبدالله الهنيدي,,
سيما بو شهري,153,17300202,48.05178918,29.3368896,السالمية-قطعة4-شارع بغداد الدور الأرضي-المحل الوحيد,جواد جاسم محمد بوهري,,
بوشهري الوطنية,154,90265407,48.05289905,29.335988,ميدان حولي-قطعة 1-شارع بغداد-الدور الأرضي-المحل الوحيد,محمد جواد جاسم بو شهري,,
الهاجري كيفان,155,21304003,47.95253465,29.34344017,كيفان ق 5 قسيمة 900001,حمد عبد الله فهد الهاجري ,,
اشبيلية الهاجري,156,94072266,48.00871025,29.36902791,بنيد القار ق 1  مبني 126,ص/ أمل عبد الرحمن الجودر,الاسم في موقع المعلومات المدنية برايم,
محمد ناصر الهاجري,157,90254257,48.05900863,29.33190046,بنيد القار ق 1 شارع بور سعيد,السيد / محمد ناصر الهاجري,,
الهاجري الحمرا,158,18985602,47.99302012,29.37881579,شرق ق 8 شارع الشهداء برج الحمرا,ص/ ساره احمد عبد الله الزين,,
الهاجري الدولية,159,19204206,47.98904875,29.3867772,شرق ق 3 مبني 1 شركة أوتاد العقارية,ص/ هاجر حسين بكر العصفور,,
سما الهاجري,160,19091328,47.86339598,29.31172034,غرناطة ق 3 شارع طريق الجهراء مبني سما الصليبخات,ص/ شيخة محمد سعود الغانم,,
الهاجري العاصمة,161,21591647,47.98719477,29.37386757,المرقاب ق 3 شارع مبارك الكبير,ص/ نوره عبد الرحمن سعود العوام,,
رحاب الهاجري,162,16822658,47.98767862,29.32904904,حولي شارع تونس مجمع الرحاب,ص/ ناصر محمد الهاجرى,,
الهاجري حولي,163,21320142,48.02399751,29.32707541,حولي ق 9 شارع 242,ص/ ريم سالم سعود العازمي,,
المهلب الهاجري,164,15712756,48.0259258,29.34071727,حولي  شارع بيروت سوق المهلب,السيد/ عبد العزيز محمد ناصر الهاجرى,,
هلال الهاجري,165,17355289,48.052577,29.33679497,السالمية ق 5 عقار 15,ص/ سمية شهاب احمد شهاب,,
الهاجري الجابريه,166,90505052,48.023744 , 29.325079,الجابرية ق 3 أ مبني 100,ص/ عبد العزيز جهاد الغربللي,,
دانة الهاجري,167,18065881,47.99268792,29.26786517,الزهراء ق7 مول 360,ص/  اعتماد يوسف الغانم,,
الهاجري المتحدة,168,21850055,48.103609 , 29.085258,السالمية شارع المغيرة بن شعبة قطعه 9,ص/ سلوي احمد عبد الله المفرح,العنوان مختلف في المعلومات المدنية,
الهاجري,169,17394472,48.13653935,29.09273281,المنقف ق 57 مبني 1+2,شركة محمد ناصر الهاجري,,
لؤلؤة الهاجري,170,21480496,48.33263295,28.678455,الخيران مدينة صباح الاحمد البحرية ق3,ص/ لينا سعدي عبد العزيز ابوضهير,,
الهاجري الساحل,171,20678513,48.12275882,29.15652916,المهبولة الطريق الساحلي ق 4 مبني 208,ص/ ندي علي عبد الرحمن محمد ابا حسين,,
الهاجري الخيران,172,20495581,48.3721115,28.67957274,صباح الاحمد البحرية ق2 قسيمة 1118,ص/ ندي فيصل حسن السراج,,
الهاجري الكوت,173,90969009,48.138998 , 29.078241,الفحيحيل ق 12 شارع الدبوس مبني 85,ص/ ايمان علي ابا حسين,غير موجودة في المعلومات المدنية,
زهرة الهاجري,174,12785845,47.87903796,29.30597961,الاندلس ق 9 شارع 1 قسيمة 223,ص/ دانه احمد عبد العزيز الفليج,,
الهاجري الرقعي,175,20884341,48.13899792,29.07824121,الرقعي ق 1 شارع مطلق عيد البغيلي,ص/ فاطمه سليمان فهد الحويل,,
الهاجري سدرة,176,93507133,48.02640112,29.34124735,,,,
الخيران هايبرد,177,95642929,48.34824277,28.67330152,,,,
الشايع,178,15353001,48.02469422,29.33305513,سوق شرق محل رقم 48-49,شركة محمد حمود الشايع,,
صفوان المتحدة,179,20067691,48.09785356,29.17010684,العقيلة-قطعة 5-قسيمة 83-الدور الأرضي-محل رقم 2+3,مريم  محمد محمود الرحماني,,
الشايع مارينا,180,15967652,48.06585624,29.33918505,السالمية- مجمع مارينا مول- محل 54-55-56,السيد/ سعود عبد العزيز الشايع,,
مرامي,181,92112463,48.01115489,29.3459961,حولي قطعة 200 شارع تونس مجمع بلازا,السيد/ محمد عبد اللطيف الشايع,,
الكويت,182,91589091,48.07401067,29.34235118,السالمية شارع سالم المبارك قسيمة 71,السيد/ علي عبد الوهاب الشايع,,
التقوى,183,21485844,47.96124975,29.25180016,الفروانية-مطار الكويت الدولي-قسيمة 900029-مبنى الركاب 4-محل رقم 18,فاطمة محمد عبدالله اشكناني,,
التسامح,184,14719876,48.09232566,29.34094541,السالمية قطعة 96 شارع الخنساء مبنى 4,السيد/ ايمن عبد اللطيف الشايع,,
النجاح,185,93312432,48.09870024,29.17340548,الفنطاس ق 5 مجمع البيرق,السيد/ بدر حمد عبد العزيز الشايع,العنوان لا يطابق المعلومات المدنية,
الأمين,186,90969009,48.13899792,29.07824121,الفحيحيل ق 14 مجمع الكوت,السيد/ عبد اللطيف محمد الشايع,,
